Iteration,Group,Pname,Category,Subcategory,Mean,Std,CV,N_Params
0,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,2.9860722204286176,7.1692108135680925,240.08832621399333,191
0,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,3.3451825954006646,8.38297738820128,250.59849945791134,29
0,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,3.0504546988996206,5.238483439661833,171.72795391950885,1
0,pg3,stosslayer1-gr,Storage,S-grid,10.913970442243357,53.04033707145943,485.98571301020525,191
0,pg4,stosslayer1-pp,Storage,S-pilot,11.100262324607245,51.596923917352434,464.8261672426562,29
0,pg5,stosslayer1-cn,Storage,S-constant,8.647145970814265,25.91484072851542,299.6924166191117,1
0,pg6,rchss-gr,Recharge,RCH-steady,3.1141873188967226,7.346232998064218,235.89566862236154,191
0,pg7,rchss-pp,Recharge,RCH-steady,3.435002739965103,8.016601935876336,233.37978286322354,29
0,pg8,rchss-cn,Recharge,RCH-steady,3.063031455088336,8.179234018987383,267.0306896587681,1
0,pg9,rchtr-gr,Recharge,RCH-transient,3.454044160803925,8.074512337762688,233.76980611282497,191
0,pg10,rchtr-pp,Recharge,RCH-transient,2.9461824169193003,7.16786080624244,243.29317713251348,29
0,pg11,rchtr-cn,Recharge,RCH-transient,3.664657704472305,9.294042094597335,253.61282946712856,1
0,pg12,ghbaw-cond-gr,GHB Conductance,GHB-Awanui-cond,316390.11194516404,4800169.020336203,1517.1678377762187,419
0,pg13,ghbaw-cond-cn,GHB Conductance,GHB-Awanui-cond,137635.187078824,1998480.2302527959,1452.0125795362646,1
0,pg14,ghbpw-cond-gr,GHB Conductance,GHB-Poukawa-cond,153798.62032967215,3003276.6350172493,1952.7331445364282,25
0,pg15,ghbpw-cond-cn,GHB Conductance,GHB-Poukawa-cond,203426.7381027829,2495964.1929829386,1226.9597478979551,1
0,pg16,ghbspring-cond-gr,GHB Conductance,GHB-Spring-cond,350110.05568869365,5542980.864637944,1583.2109859668185,12
0,pg17,ghbspring-cond-cn,GHB Conductance,GHB-Spring-cond,149823.74836867792,2084262.4833404173,1391.1429302993945,1
0,pg18,ghbconf-cond-gr,GHB Conductance,GHB-Confined-cond,111624.0553515969,2502652.729369358,2242.037096292932,1423
0,pg19,ghbconf-cond-cn,GHB Conductance,GHB-Confined-cond,41049.297152878135,396777.14846338576,966.5869478487919,1
0,pg20,ghbaw-head-hg,GHB Head,GHB-Awanui-head,-0.001254398176731122,0.165782448854826,-13216.094532825613,419
0,pg21,ghbaw-head-cn,GHB Head,GHB-Awanui-head,0.00720009097852084,0.1726326129240944,2397.644883086733,1
0,pg22,ghbpw-head-hg,GHB Head,GHB-Poukawa-head,0.003293051533985176,0.16250196353025312,4934.692392548043,25
0,pg23,ghbpw-head-cn,GHB Head,GHB-Poukawa-head,-0.026946541518988735,0.1576517375502873,-585.053697667261,1
0,pg24,ghbspring-head-hg,GHB Head,GHB-Spring-head,0.0012982938006787185,0.16880903171391634,13002.375242465674,12
0,pg25,ghbspring-head-cn,GHB Head,GHB-Spring-head,-0.005118286777739426,0.1651540247399146,-3226.744258610252,1
0,pg26,ghbconf-head-hg,GHB Head,GHB-Confined-head,0.002975487177615502,0.1644259160541627,5526.016623130955,1423
0,pg27,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.015608204201441071,0.1547399903424528,-991.4016266404691,1
1,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,2.9325241893340492,6.98086875936464,238.0498269973328,191
1,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,3.5125338762023532,8.528061267920446,242.7894382940651,29
1,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,3.3992627099563117,6.354974458141749,186.95155392162746,1
1,pg3,stosslayer1-gr,Storage,S-grid,10.393762131579875,51.11385111425005,491.77430142400834,191
1,pg4,stosslayer1-pp,Storage,S-pilot,10.27139748368875,49.337754987365415,480.34121029504576,29
1,pg5,stosslayer1-cn,Storage,S-constant,7.482277770810442,24.230785558307254,323.84236860111514,1
1,pg6,rchss-gr,Recharge,RCH-steady,3.0163590481833276,7.094413317230037,235.19790594898882,191
1,pg7,rchss-pp,Recharge,RCH-steady,3.0227397287095634,7.262063265730294,240.24771953589726,29
1,pg8,rchss-cn,Recharge,RCH-steady,2.1659900421569462,4.336712425359338,200.21848397053265,1
1,pg9,rchtr-gr,Recharge,RCH-transient,3.4201824221265555,7.987688216563988,233.54567770679057,191
1,pg10,rchtr-pp,Recharge,RCH-transient,2.841055830531514,7.044953346668352,247.9695495934819,29
1,pg11,rchtr-cn,Recharge,RCH-transient,3.452619362053281,7.353500154537328,212.98322761429992,1
1,pg12,ghbaw-cond-gr,GHB Conductance,GHB-Awanui-cond,296336.4797716659,4588970.526923801,1548.567537300743,419
1,pg13,ghbaw-cond-cn,GHB Conductance,GHB-Awanui-cond,140585.34148966506,2080277.9299961964,1479.7260567518879,1
1,pg14,ghbpw-cond-gr,GHB Conductance,GHB-Poukawa-cond,118547.8350207794,2207592.2786398353,1862.1953562061105,25
1,pg15,ghbpw-cond-cn,GHB Conductance,GHB-Poukawa-cond,166557.01895535318,1977194.6881053797,1187.0977881967142,1
1,pg16,ghbspring-cond-gr,GHB Conductance,GHB-Spring-cond,246796.71750644883,4520000.570663161,1831.467053667378,12
1,pg17,ghbspring-cond-cn,GHB Conductance,GHB-Spring-cond,175099.99333311035,2442279.011791938,1394.791036425538,1
1,pg18,ghbconf-cond-gr,GHB Conductance,GHB-Confined-cond,171458.53021154128,3503106.9238161235,2043.121983778863,1423
1,pg19,ghbconf-cond-cn,GHB Conductance,GHB-Confined-cond,35720.84833354611,370279.67293479585,1036.5926068644326,1
1,pg20,ghbaw-head-hg,GHB Head,GHB-Awanui-head,0.0003747269609688927,0.16442643962159065,43878.99904411741,419
1,pg21,ghbaw-head-cn,GHB Head,GHB-Awanui-head,0.012104016929278026,0.173056164951234,1429.7415970448114,1
1,pg22,ghbpw-head-hg,GHB Head,GHB-Poukawa-head,0.003368187894017153,0.16027619685126412,4758.528974466051,25
1,pg23,ghbpw-head-cn,GHB Head,GHB-Poukawa-head,-0.02861217236343595,0.15650412406326233,-546.9844165459523,1
1,pg24,ghbspring-head-hg,GHB Head,GHB-Spring-head,-0.00040676391874188366,0.16752685258758485,-41185.27845482057,12
1,pg25,ghbspring-head-cn,GHB Head,GHB-Spring-head,-0.005631485273042638,0.1653191693771964,-2935.622866112478,1
1,pg26,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.00365477780725223,0.16185010656201795,-4428.452702127511,1423
1,pg27,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.022418385184434373,0.15291652692017155,-682.1032186847481,1
2,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,2.6109046066993047,5.847148078649717,223.95104224208552,191
2,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,3.689349427558202,8.764997254715821,237.5756871724926,29
2,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,4.0984145955519065,7.425898046129462,181.18952763317168,1
2,pg3,stosslayer1-gr,Storage,S-grid,10.023293940880981,48.90973570834321,487.96070430360317,191
2,pg4,stosslayer1-pp,Storage,S-pilot,7.535662034988068,38.74659980253216,514.1764535435872,29
2,pg5,stosslayer1-cn,Storage,S-constant,6.357222585309717,23.273080377474148,366.08880788999943,1
2,pg6,rchss-gr,Recharge,RCH-steady,2.7507042577649843,6.397064811168361,232.5609811781851,191
2,pg7,rchss-pp,Recharge,RCH-steady,2.77058796197985,6.559116048425702,236.74094229943114,29
2,pg8,rchss-cn,Recharge,RCH-steady,1.8288263345311557,4.1844500583032245,228.80521672802598,1
2,pg9,rchtr-gr,Recharge,RCH-transient,3.442339753046381,7.924631973555804,230.21062829555717,191
2,pg10,rchtr-pp,Recharge,RCH-transient,2.4221157919397713,5.543018695905891,228.85027686751172,29
2,pg11,rchtr-cn,Recharge,RCH-transient,3.2883121042483383,6.8005937596719885,206.81107948621894,1
2,pg12,ghbaw-cond-gr,GHB Conductance,GHB-Awanui-cond,216609.30789914943,3630705.9014784293,1676.1541490030709,419
2,pg13,ghbaw-cond-cn,GHB Conductance,GHB-Awanui-cond,126367.76700185944,1882250.4301410588,1489.5020105193141,1
2,pg14,ghbpw-cond-gr,GHB Conductance,GHB-Poukawa-cond,73460.98465105059,1591152.7790992714,2165.9834627284918,25
