,mm
2023-11-06,27.2
2023-11-07,10.0
2023-11-08,5.4
2023-11-09,3.0000000000000004
2023-11-10,5.0
2023-11-11,3.0
2023-11-12,3.0
2023-11-13,2.8
2023-11-14,0.8
2023-11-15,0.0
2023-11-16,0.0
2023-11-17,0.0
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,0.0
2023-11-21,0.0
2023-11-22,5.2
2023-11-23,11.8
2023-11-24,28.0
2023-11-25,34.4
2023-11-26,29.8
2023-11-27,23.2
2023-11-28,9.600000000000001
2023-11-29,6.4
2023-11-30,5.800000000000001
2023-12-01,5.800000000000001
2023-12-02,3.2
2023-12-03,0.0
2023-12-04,0.0
2023-12-05,1.4
2023-12-06,1.5999999999999999
2023-12-07,2.8
2023-12-08,3.2
2023-12-09,4.800000000000001
2023-12-10,5.6
2023-12-11,4.4
2023-12-12,4.0
2023-12-13,1.0
2023-12-14,1.4
2023-12-15,1.4
2023-12-16,1.4
2023-12-17,1.4
2023-12-18,0.0
2023-12-19,0.0
2023-12-20,0.0
2023-12-21,0.0
2023-12-22,0.0
2023-12-23,0.4
2023-12-24,0.4
2023-12-25,0.4
2023-12-26,0.4
2023-12-27,0.0
2023-12-28,2.6
2023-12-29,4.6
2023-12-30,4.6
2023-12-31,4.6
2024-01-01,2.4
2024-01-02,4.0
2024-01-03,4.6
2024-01-04,4.6
2024-01-05,4.199999999999999
2024-01-06,0.6000000000000001
2024-01-07,0.0
2024-01-08,0.0
2024-01-09,4.8
2024-01-10,9.4
2024-01-11,9.4
2024-01-12,9.4
2024-01-13,4.6000000000000005
2024-01-14,0.0
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,6.800000000000001
2024-01-20,8.4
2024-01-21,8.4
2024-01-22,8.4
2024-01-23,1.6
2024-01-24,0.0
2024-01-25,0.6000000000000001
2024-01-26,6.800000000000001
2024-01-27,8.0
2024-01-28,8.0
2024-01-29,10.600000000000001
2024-01-30,4.3999999999999995
2024-01-31,3.3999999999999995
2024-02-01,23.4
2024-02-02,20.599999999999998
2024-02-03,23.4
2024-02-04,23.6
2024-02-05,3.5999999999999996
2024-02-06,3.1999999999999997
2024-02-07,2.2
2024-02-08,1.8000000000000003
2024-02-09,1.8000000000000003
2024-02-10,1.8000000000000003
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,5.6
2024-02-14,6.0
2024-02-15,6.0
2024-02-16,6.0
2024-02-17,0.4
2024-02-18,0.0
2024-02-19,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,1.0
2024-03-02,14.999999999999998
2024-03-03,14.999999999999998
2024-03-04,15.399999999999999
2024-03-05,14.399999999999999
2024-03-06,0.4
2024-03-07,0.4
2024-03-08,0.4
2024-03-09,0.6000000000000001
2024-03-10,0.6000000000000001
2024-03-11,0.6000000000000001
2024-03-12,0.2
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-16,4.8
2024-03-17,7.6
2024-03-18,9.6
2024-03-19,13.0
2024-03-20,9.0
2024-03-21,6.2
2024-03-22,4.2
2024-03-23,0.8
2024-03-24,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.2
2024-03-28,0.4
2024-03-29,0.4
2024-03-30,0.4
2024-03-31,0.2
2024-04-01,0.0
2024-04-02,0.4
2024-04-03,7.2
2024-04-04,7.2
2024-04-05,7.2
2024-04-06,6.8
2024-04-07,0.0
2024-04-08,0.8
2024-04-09,1.4000000000000001
2024-04-10,1.4000000000000001
2024-04-11,1.4000000000000001
2024-04-12,0.6000000000000001
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,0.2
2024-04-17,0.2
2024-04-18,4.0
2024-04-19,4.0
2024-04-20,3.8
2024-04-21,3.8
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,14.2
2024-04-25,22.4
2024-04-26,22.6
2024-04-27,22.8
2024-04-28,8.600000000000001
2024-04-29,0.4
2024-04-30,0.2
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,0.0
2024-05-05,0.0
2024-05-06,0.8
2024-05-07,0.8
2024-05-08,0.8
2024-05-09,0.8
2024-05-10,3.2
2024-05-11,3.2
2024-05-12,3.2
2024-05-13,3.2
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,0.6
2024-05-18,0.6
2024-05-19,2.0
2024-05-20,2.0
2024-05-21,1.4
2024-05-22,1.4
2024-05-23,0.0
2024-05-24,5.199999999999999
2024-05-25,25.2
2024-05-26,27.6
2024-05-27,27.6
2024-05-28,22.4
2024-05-29,2.4000000000000004
2024-05-30,0.0
