kper,kstp,k,i,j,CONFq
1,1,0,1,27,2.0049743546595273
1,1,0,1,28,2.008123022426842
1,1,0,1,29,2.019409137680965
1,1,0,1,30,2.0403633879876217
1,1,0,1,31,2.071493870182005
1,1,0,1,32,2.1130187344790503
1,1,0,1,33,2.1649869664797627
1,1,0,1,34,2.227318934322673
1,1,0,1,35,2.299786960906255
1,1,0,1,36,2.3819601211986985
1,1,0,1,37,2.4731045116150927
1,1,0,1,38,2.5720044043576937
1,1,0,1,39,2.6766099966780406
1,1,0,1,40,2.783230386949656
1,1,0,1,41,2.8843425104729405
1,1,0,1,42,2.9616734583289848
1,1,0,2,24,2.079618565093032
1,1,0,2,25,2.0627771253674574
1,1,0,2,26,2.0438711193341277
1,1,0,2,27,2.025608829280058
1,1,0,2,28,2.0237897084463263
1,1,0,2,29,2.033620376903084
1,1,0,2,30,2.0541635080053773
1,1,0,2,31,2.0852946444181946
1,1,0,2,32,2.127049292291865
1,1,0,2,33,2.179443124142276
1,1,0,2,34,2.2424172707622834
1,1,0,2,35,2.3157993131907393
1,1,0,2,36,2.3992557501872813
1,1,0,2,37,2.4922259470145587
1,1,0,2,38,2.5938369577755385
1,1,0,2,39,2.7028314737736885
1,1,0,2,40,2.817685438863551
1,1,0,2,41,2.9377446508631007
1,1,0,2,42,3.069165542597336
1,1,0,2,43,3.2531454210703767
1,1,0,2,44,3.4073094097493577
1,1,0,2,45,3.5387513502586536
1,1,0,2,46,3.659655289780842
1,1,0,2,47,3.6602195838089333
1,1,0,3,21,2.2577443929628718
1,1,0,3,22,2.2226540333347007
1,1,0,3,23,2.175764032508223
1,1,0,3,24,2.12074077527601
1,1,0,3,25,2.089010185867769
1,1,0,3,26,2.067269857507215
1,1,0,3,27,2.0536050558742627
1,1,0,3,28,2.0516195104873702
1,1,0,3,29,2.0609888610095766
1,1,0,3,30,2.081379422023904
1,1,0,3,31,2.1126928996169685
1,1,0,3,32,2.1549459942391795
1,1,0,3,33,2.20817500807272
1,1,0,3,34,2.272382602266479
1,1,0,3,35,2.3475018999514905
1,1,0,3,36,2.4333633831156884
1,1,0,3,37,2.529660797086434
1,1,0,3,38,2.6359274628585396
1,1,0,3,39,2.751569495934868
1,1,0,3,40,2.876086915773115
1,1,0,3,41,3.009754126685186
1,1,0,3,42,3.1549332187581616
1,1,0,3,43,3.3150421560597394
1,1,0,3,44,3.463148728962615
1,1,0,3,45,3.583287514024077
1,1,0,3,46,3.6539044795433266
1,1,0,3,47,3.6956019884191953
1,1,0,3,48,3.734709440857076
1,1,0,4,18,2.523856982724025
1,1,0,4,19,2.4752479953901165
1,1,0,4,20,2.40550282838638
1,1,0,4,21,2.318303028567575
1,1,0,4,22,2.2596880147786926
1,1,0,4,23,2.2088190291541263
1,1,0,4,24,2.1630148145224446
1,1,0,4,25,2.129517613603147
1,1,0,4,26,2.1067054073168894
1,1,0,4,27,2.093934728581438
1,1,0,4,28,2.092094586648013
1,1,0,4,29,2.101399586627867
1,1,0,4,30,2.12187635498179
1,1,0,4,31,2.153571035247772
1,1,0,4,32,2.1965728637370834
1,1,0,4,33,2.2509902829149517
1,1,0,4,34,2.316925165837276
1,1,0,4,35,2.394452214478303
1,1,0,4,36,2.4836014718589094
1,1,0,4,37,2.5843425283983557
1,1,0,4,38,2.6965752512486176
1,1,0,4,39,2.8201417654054026
1,1,0,4,40,2.954881626467712
1,1,0,4,41,3.100688846733279
1,1,0,4,42,3.257184007828087
1,1,0,4,43,3.4214268109152552
1,1,0,4,44,3.5804345285356316
1,1,0,4,45,3.7116312768127244
1,1,0,4,46,3.726442031089242
1,1,0,4,47,3.768620239493689
1,1,0,4,48,3.8091316029241185
1,1,0,4,49,3.865654321556221
1,1,0,5,16,2.7634011597552757
1,1,0,5,17,2.7011102162446807
1,1,0,5,18,2.599708329966207
1,1,0,5,19,2.5233024750526614
1,1,0,5,20,2.449410793414142
1,1,0,5,21,2.376053561492478
1,1,0,5,22,2.3143712066796027
1,1,0,5,23,2.2618523215127837
1,1,0,5,24,2.2177317326369774
1,1,0,5,25,2.1838790859720554
1,1,0,5,26,2.1604914341740287
1,1,0,5,27,2.1476378745721174
1,1,0,5,28,2.145712360284147
1,1,0,5,29,2.1549872558360246
1,1,0,5,30,2.175643670866375
1,1,0,5,31,2.207847371961808
1,1,0,5,32,2.2517812161856714
1,1,0,5,33,2.3076498604423783
1,1,0,5,34,2.37567607772014
1,1,0,5,35,2.4560970079142024
1,1,0,5,36,2.549161229358191
1,1,0,5,37,2.6551240017134905
1,1,0,5,38,2.774235916867603
1,1,0,5,39,2.9067165347711477
1,1,0,5,40,3.052686179532923
1,1,0,5,41,3.211987527324119
1,1,0,5,42,3.3837858783251757
1,1,0,5,43,3.566247833056593
1,1,0,5,44,3.7597975204771785
1,1,0,5,45,3.9915040816719127
1,1,0,5,46,3.893820803802573
1,1,0,5,47,3.8788416441052664
1,1,0,5,48,3.9033491386423194
1,1,0,5,49,3.958364715688816
1,1,0,5,50,4.0490551182702745
1,1,0,5,51,4.1034728957608255
1,1,0,6,15,2.948706979475398
1,1,0,6,16,2.8545314243543523
1,1,0,6,17,2.7686452071442993
1,1,0,6,18,2.678249630005329
1,1,0,6,19,2.5960301895417945
1,1,0,6,20,2.519471185302475
1,1,0,6,21,2.4483057804962485
1,1,0,6,22,2.385649842123504
1,1,0,6,23,2.3318996222576622
1,1,0,6,24,2.28730985951227
1,1,0,6,25,2.252689294465032
1,1,0,6,26,2.228504613363482
1,1,0,6,27,2.2150855853007947
1,1,0,6,28,2.2127846223445786
1,1,0,6,29,2.221907735622988
1,1,0,6,30,2.2427176523338535
1,1,0,6,31,2.2754671313323733
1,1,0,6,32,2.3204259870794086
1,1,0,6,33,2.377897619263713
1,1,0,6,34,2.4482310064540744
1,1,0,6,35,2.531832745670247
1,1,0,6,36,2.629179300130289
1,1,0,6,37,2.740825193911361
1,1,0,6,38,2.8673978958501856
1,1,0,6,39,3.009560158260582
1,1,0,6,40,3.1678933361041235
1,1,0,6,41,3.342588427828961
1,1,0,6,42,3.5326725486211235
1,1,0,6,43,3.734152761589872
1,1,0,6,44,3.936468792504897
1,1,0,6,45,4.1281158886167155
1,1,0,6,46,4.014860917017165
1,1,0,6,47,3.9858445248848895
1,1,0,6,48,4.00349521224102
1,1,0,6,49,4.0522021335969765
1,1,0,6,50,4.122735265531292
1,1,0,6,51,4.195663805913231
1,1,0,6,52,4.281592553973537
1,1,0,7,14,3.192016217431238
1,1,0,7,15,3.0729572278163957
1,1,0,7,16,2.9667897499409737
1,1,0,7,17,2.8695100278722716
