kper,kstp,time,k,i,j,SPq,weight,std
2,32,33.0,0,34,33,-3.0,0.0,1.8
2,32,33.0,0,35,33,-3.0,0.0,1.8
2,32,33.0,0,36,32,-3.0,0.0,1.8
2,32,33.0,0,36,33,-3.0,0.0,1.8
2,32,33.0,0,37,32,-3.0,0.0,1.8
2,33,34.0,0,32,30,-3.0,0.0,1.8
2,33,34.0,0,33,30,-3.0,0.0,1.8
2,33,34.0,0,33,31,-3.0,0.0,1.8
2,33,34.0,0,33,32,-3.0,0.0,1.8
2,33,34.0,0,33,33,-3.0,0.0,1.8
2,33,34.0,0,34,30,-3.0,0.0,1.8
2,33,34.0,0,34,31,-3.0,0.0,1.8
2,33,34.0,0,34,33,-3.0,0.0,1.8
2,33,34.0,0,35,33,-3.0,0.0,1.8
2,33,34.0,0,36,32,-3.0,0.0,1.8
2,33,34.0,0,36,33,-3.0,0.0,1.8
2,33,34.0,0,37,32,-3.0,0.0,1.8
2,34,35.0,0,32,30,-3.0,0.0,1.8
2,34,35.0,0,33,30,-3.0,0.0,1.8
2,34,35.0,0,33,31,-3.0,0.0,1.8
2,34,35.0,0,33,32,-3.0,0.0,1.8
2,34,35.0,0,33,33,-3.0,0.0,1.8
2,34,35.0,0,34,30,-3.0,0.0,1.8
2,34,35.0,0,34,31,-3.0,0.0,1.8
2,34,35.0,0,34,33,-3.0,0.0,1.8
2,34,35.0,0,35,33,-3.0,0.0,1.8
2,34,35.0,0,36,32,-3.0,0.0,1.8
2,34,35.0,0,36,33,-3.0,0.0,1.8
2,34,35.0,0,37,32,-3.0,0.0,1.8
2,35,36.0,0,32,30,-3.0,0.0,1.8
2,35,36.0,0,33,30,-3.0,0.0,1.8
2,35,36.0,0,33,31,-3.0,0.0,1.8
2,35,36.0,0,33,32,-3.0,0.0,1.8
2,35,36.0,0,33,33,-3.0,0.0,1.8
2,35,36.0,0,34,30,-3.0,0.0,1.8
2,35,36.0,0,34,31,-3.0,0.0,1.8
2,35,36.0,0,34,33,-3.0,0.0,1.8
2,35,36.0,0,35,33,-3.0,0.0,1.8
2,35,36.0,0,36,32,-3.0,0.0,1.8
2,35,36.0,0,36,33,-3.0,0.0,1.8
2,35,36.0,0,37,32,-3.0,0.0,1.8
2,36,37.0,0,32,30,-3.0,0.0,1.8
2,36,37.0,0,33,30,-3.0,0.0,1.8
2,36,37.0,0,33,31,-3.0,0.0,1.8
2,36,37.0,0,33,32,-3.0,0.0,1.8
2,36,37.0,0,33,33,-3.0,0.0,1.8
2,36,37.0,0,34,30,-3.0,0.0,1.8
2,36,37.0,0,34,31,-3.0,0.0,1.8
2,36,37.0,0,34,33,-3.0,0.0,1.8
2,36,37.0,0,35,33,-3.0,0.0,1.8
2,36,37.0,0,36,32,-3.0,0.0,1.8
2,36,37.0,0,36,33,-3.0,0.0,1.8
